threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.1,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.11,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.12,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.13,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.14,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.15,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.16,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.17,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.18,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.19,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
