scope,role,head_authority,method,metric,outcome,mean,n
evaluation,Q→R,R003 Query Top5,L24H16,largest4n_iou,correct,0.08742065287483818,418
evaluation,Q→R,R003 Query Top5,L24H16,largest4n_iou,error,0.05877017553300445,123
evaluation,Q→R,R003 Query Top5,L25H10,pointing,correct,0.05263157894736842,418
evaluation,Q→R,R003 Query Top5,L25H10,pointing,error,0.056910569105691054,123
evaluation,Q→R,R003 Query Top5,L25H10,s50_fiou,correct,0.0279207804595144,418
evaluation,Q→R,R003 Query Top5,L25H10,s50_fiou,error,0.0176152795660964,123
evaluation,Q→R,R003 Query Top5,L25H10,s30_iou,correct,0.0858634067599092,418
evaluation,Q→R,R003 Query Top5,L25H10,s30_iou,error,0.056074711229497254,123
evaluation,Q→R,R003 Query Top5,L25H10,largest4n_iou,correct,0.06367548155987304,418
evaluation,Q→R,R003 Query Top5,L25H10,largest4n_iou,error,0.052744160984096296,123
evaluation,Q→R,R003 Query Top5,L15H13,pointing,correct,0.5765550239234449,418
evaluation,Q→R,R003 Query Top5,L15H13,pointing,error,0.43089430894308944,123
evaluation,Q→R,R003 Query Top5,L15H13,s50_fiou,correct,0.15500583694033793,418
evaluation,Q→R,R003 Query Top5,L15H13,s50_fiou,error,0.09125286032226454,123
evaluation,Q→R,R003 Query Top5,L15H13,s30_iou,correct,0.21270371922407416,418
evaluation,Q→R,R003 Query Top5,L15H13,s30_iou,error,0.1237246493029567,123
evaluation,Q→R,R003 Query Top5,L15H13,largest4n_iou,correct,0.2754079021878191,418
evaluation,Q→R,R003 Query Top5,L15H13,largest4n_iou,error,0.15922709080022987,123
evaluation,Q→R,R003 Query Top5,L21H10,pointing,correct,0.15550239234449761,418
evaluation,Q→R,R003 Query Top5,L21H10,pointing,error,0.14634146341463414,123
evaluation,Q→R,R003 Query Top5,L21H10,s50_fiou,correct,0.08510431937789313,418
evaluation,Q→R,R003 Query Top5,L21H10,s50_fiou,error,0.05434868009212719,123
evaluation,Q→R,R003 Query Top5,L21H10,s30_iou,correct,0.1483054443062552,418
evaluation,Q→R,R003 Query Top5,L21H10,s30_iou,error,0.09228177651846313,123
evaluation,Q→R,R003 Query Top5,L21H10,largest4n_iou,correct,0.23176213957908937,418
evaluation,Q→R,R003 Query Top5,L21H10,largest4n_iou,error,0.1610079249105766,123
evaluation,Q→R,R003 Query Top5,top5,pointing,correct,0.12200956937799043,418
evaluation,Q→R,R003 Query Top5,top5,pointing,error,0.13008130081300814,123
evaluation,Q→R,R003 Query Top5,top5,s50_fiou,correct,0.12285507520148552,418
evaluation,Q→R,R003 Query Top5,top5,s50_fiou,error,0.06348164062354579,123
evaluation,Q→R,R003 Query Top5,top5,s30_iou,correct,0.18734765611308357,418
